duration_years,log_project_cost,funding_gap_ratio,region_encoded,environment_risk,risk_label,contract_graph_score,schedule_contract_risk,financial_contract_risk,quality_contract_risk,termination_contract_risk
4.802739726027397,19.093676241403237,0.32146318901350346,6,6,0,0.16363636363636366,1.4408219178082193,3.818735248280648,0.6000000000000001,0.0642926378027007
5.383561643835616,17.39206085507632,0.0,1,1,0,0.16363636363636366,1.6150684931506851,3.4784121710152642,0.1,0.0
1.0027397260273974,17.50439003707821,-0.4999999875000003,0,6,0,0.16363636363636366,0.30082191780821926,3.500878007415642,0.6000000000000001,-0.09999999750000006
3.164383561643836,16.012735246411598,0.9999998888889012,0,1,0,0.16363636363636366,0.9493150684931508,3.2025470492823196,0.1,0.19999997777778025
5.416438356164384,22.2048703780979,0.984090908867252,3,0,0,0.16363636363636366,1.6249315068493153,4.440974075619581,0.0,0.19681818177345042
0.4191780821917808,17.909855136853043,0.0,0,6,0,0.16363636363636366,0.12575342465753425,3.5819710273706087,0.6000000000000001,0.0
5.46027397260274,17.216707972959764,0.0,0,1,0,0.16363636363636366,1.6380821917808221,3.4433415945919528,0.1,0.0
5.219178082191781,17.50439003707821,0.0,0,1,0,0.16363636363636366,1.5657534246575344,3.500878007415642,0.1,0.0
7.512328767123288,19.806975107572256,0.21249999946875,0,0,0,0.16363636363636366,2.2536986301369866,3.9613950215144516,0.0,0.04249999989375
0.4246575342465753,19.519293035953808,0.0,1,6,0,0.16363636363636366,0.1273972602739726,3.9038586071907617,0.6000000000000001,0.0
5.528767123287671,18.420680753952364,0.199999998,1,1,0,0.16363636363636366,1.6586301369863015,3.684136150790473,0.1,0.0399999996
6.043835616438356,19.995009481344365,0.04588296210070852,6,0,0,0.16363636363636366,1.813150684931507,3.999001896268873,0.0,0.009176592420141703
5.0849315068493155,18.132998684833918,0.0,3,1,0,0.16363636363636366,1.525479452054795,3.6265997369667837,0.1,0.0
5.002739726027397,17.034386422832473,0.0,0,1,0,0.16363636363636366,1.5008219178082194,3.4068772845664945,0.1,0.0
